id,song_name,class,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,30 seconds to Mars - Night of the Hunter.mp3,relax,3,117.4538352,139925,1283.715596,0.422269364,0.293325614,0.086039916,0.527779494,0.263042667,0.069191445,0.261495642,0.117303546,0.013760122,8.27174432,42.23890769,1784.125323,-0.669535765,36.23852434,1313.230646,0.012002837,2.737308806,7.492859498,4.831246853,2.73298049,7.469182968,2749.820569,982.5022573,965310.6856,2500.560413,584.3546489,341470.3556,18.90063587,8.135854586,66.19212985,5676.132344,1775.02147,3150701.22,2.694325741,3.498507562,12.23955516,0.001847167,0.055645316,0.003096401,0.145777463,0.088269907,0.007791576,1.36E-06,0.131658405,0.017333934,0.000141969,0.095362484,0.009094004,4.221387755,1.601395952,2.564468994
2,Absolutely - Story of A Girl.mp3,sad,1,129.1992188,159877,1268.865079,0.425320782,0.289704251,0.083928553,0.488411633,0.275777219,0.076053074,0.259517351,0.126428153,0.015984078,10.80452964,52.99969193,2808.967345,2.324514489,23.12582986,534.8040068,0.012688937,2.348498004,5.515442877,6.097115994,1.973801136,3.895890951,3355.923318,825.28016,681087.3424,2839.385726,282.88856,80025.93736,20.00986003,6.837942054,46.75745153,6770.39656,1060.310894,1124259.193,3.068247328,3.49566783,12.21969358,0.007194285,0.071367416,0.005093308,0.174273512,0.092381368,0.008534317,-3.00E-06,0.169203728,0.028629901,5.56E-06,0.099144682,0.009829667,3.24614966,1.885734819,3.555995808
3,Ace - Futureland.mp3,happy,2,99.38401442,121594,1253.546392,0.487376803,0.268670374,0.07218377,0.44053569,0.303527672,0.092129048,0.238127465,0.163182854,0.026628644,16.9294511,91.41765116,8357.186944,7.213594738,25.7773076,664.4695872,0.00664681,1.732102757,3.00017996,7.45171833,2.472208023,6.111813068,2884.310298,1000.080209,1000160.423,2778.911699,549.9270779,302419.791,18.09058591,6.242264389,38.9658647,6208.412459,2138.990993,4575282.467,3.751397711,4.212932682,17.74880178,-0.019074338,0.083522546,0.006976016,0.136353862,0.078736655,0.006199461,1.87E-05,0.206915513,0.042814031,-7.70E-05,0.115424842,0.013322894,3.989188209,1.766115307,3.119163277
4,Alan Walker - Faded.mp3,sad,1,89.10290948,113611,1291.034091,0.292934478,0.29569479,0.087435409,0.406712844,0.288187825,0.083052223,0.226562938,0.178892617,0.032002568,9.843200113,75.09972899,5639.969295,2.453629006,45.42074375,2063.043963,0.005337784,2.206856993,4.870217787,5.226909637,2.562407494,6.565932274,1927.612816,1035.043044,1071314.103,2174.151882,835.8544316,698652.6308,21.74016032,5.647970149,31.8995668,4051.608834,2482.790129,6164246.825,2.098193939,2.550848768,6.506829439,-0.002768046,0.092026768,0.008468926,0.084333957,0.049829604,0.002482989,-2.03E-05,0.184177279,0.033921268,-3.26E-06,0.055471476,0.003077085,3.423782313,1.922332842,3.695363555
5,Alan Walker - Force [Instrumental].mp3,relax,3,198.7680288,252770,1404.277778,0.286669482,0.300048682,0.090029212,0.37287328,0.290104642,0.084160703,0.217227015,0.190120375,0.036145757,5.886977146,72.02582901,5187.720045,-0.764524421,45.97753844,2113.934041,0.009725682,2.007709816,4.030898707,3.845882177,2.61906004,6.859476089,2545.374828,1062.659044,1129244.244,2371.939368,908.3368211,825075.7805,21.94492058,6.550948614,42.91492774,5321.330323,2555.896372,6532606.266,1.512831214,1.997955863,3.99182763,-0.006246197,0.091778097,0.008423219,0.117507415,0.054558505,0.00297663,1.40E-05,0.147810981,0.021848086,0.000306882,0.048204396,0.002323664,9.637442177,7.344525154,53.94204973
6,All American Rejects - Stab my back.mp3,angry,4,135.9991776,173919,1288.288889,0.402927771,0.293648941,0.086229701,0.511188687,0.267794641,0.07171397,0.261786125,0.121660832,0.014801358,16.47518906,86.45292344,7474.107971,6.878092703,23.32246751,543.9374908,0.005724838,2.711800544,7.353862193,7.291646957,2.602593184,6.773491859,2794.75673,680.0011967,462401.6275,2697.979678,303.4514805,92082.80102,19.93235094,6.390375704,40.83690164,5915.443397,1193.495011,1424430.34,3.739061441,4.257751352,18.12844658,0.009007424,0.059399822,0.003528339,0.132281324,0.057834691,0.003344851,-2.44E-06,0.196422249,0.038581699,-0.000103147,0.135027885,0.018232528,2.917587302,1.705446393,2.908547399
7,Apparat - You Dont Know Me.mp3,relax,3,161.4990234,204713,1271.509317,0.291769794,0.303724422,0.092248524,0.439677776,0.283746334,0.080511982,0.237816404,0.163635849,0.026776691,6.974083403,66.83671905,4467.147014,-3.754776661,48.89451485,2390.673583,0.012782354,1.440528756,2.075123096,4.111234188,2.577727079,6.644677162,1722.14567,375.4770208,140982.9932,2280.988092,408.1874201,166616.9699,23.76722385,8.232435012,67.77298623,3775.777168,1272.897506,1620268.061,1.534552304,2.227213372,4.960479402,0.007724619,0.076847818,0.005905587,0.062141537,0.025718884,0.000661461,-1.92E-05,0.157182351,0.024706293,-1.63E-05,0.039745864,0.001579734,1.37229932,0.69298631,0.480230026
8,B.O.B - Soo Good.mp3,happy,2,86.1328125,108756,1279.482353,0.421205622,0.294016598,0.08644576,0.507742092,0.279095371,0.077894226,0.254880185,0.13553385,0.018369425,20.03077151,147.5136999,21760.29165,4.95562076,29.67170653,880.4101682,0.013385615,2.746273852,7.542020071,7.625406742,3.578936338,12.80878448,2708.439843,953.862517,909853.7014,2623.42318,734.9657335,540174.6295,19.42979135,6.589739629,43.42466838,5880.66444,2082.871221,4338352.525,3.594682842,4.352430408,18.94365045,-0.00407983,0.070444611,0.004962443,0.11792748,0.063363736,0.004014963,-2.28E-06,0.199292004,0.039717302,-0.00010311,0.165504798,0.027391838,5.263963719,2.912277593,8.481360778
9,Billy Talent - Fallen Leaves.mp3,happy,2,123.046875,106506,1054.514851,0.408958424,0.289546437,0.083837139,0.522171574,0.279307258,0.078012544,0.259815229,0.125814864,0.01582938,13.57571267,81.45232998,6634.482058,4.532875529,26.8421505,720.5010435,0.010696634,2.909786962,8.466860165,6.407421589,2.945688963,8.677083015,2862.122038,629.6575466,396468.626,2583.918199,409.17947,167427.8387,19.68229392,7.402166278,54.7920656,5834.710552,1155.844456,1335976.406,3.299955133,3.889061712,15.124801,0.016530577,0.066490072,0.00442093,0.146345676,0.058125786,0.003378607,-1.90E-05,0.177508309,0.031509198,-0.000155616,0.122583307,0.015026667,2.402104308,1.407299272,1.980491241
10,Billy Talent - Red Flag.mp3,happy,2,92.28515625,102169,1201.988235,0.472775697,0.291974877,0.085249329,0.575409757,0.277486308,0.076998651,0.266335384,0.111349883,0.012398796,16.15352587,109.9906259,12097.93778,6.342557104,22.41891883,502.6079216,0.010971336,2.849928707,8.122093634,7.119541168,2.820424318,7.95479393,3066.501669,790.8160532,625390.03,2778.984692,298.3711979,89025.37171,18.74509054,6.857769624,47.02900422,6338.161674,1135.978382,1290446.884,3.510186788,4.073010511,16.58941462,0.005264146,0.06428996,0.004133199,0.158338045,0.079177701,0.006269108,9.09E-06,0.163210422,0.02663764,0.000865846,0.161110818,0.025956694,1.733369615,1.053179817,1.109187727
11,Billy Talent - Viking Death March.mp3,angry,4,143.5546875,183008,1279.776224,0.466557562,0.282420875,0.079761551,0.584324635,0.247357228,0.061185598,0.268748724,0.10539192,0.011107457,17.10669841,93.67338601,8774.703246,6.364959232,26.87810473,722.4325138,0.013899837,2.4043216,5.780762356,7.347826958,2.754977942,7.589903355,2586.263822,584.5253864,341669.9274,2423.44088,399.0401254,159233.0217,19.00914569,7.564149979,57.21636491,5332.755254,1081.926165,1170564.226,3.989431764,4.433234437,19.65356757,0.004083563,0.050217035,0.002521751,0.13435633,0.05160216,0.002662783,-9.60E-06,0.182128429,0.033170767,-0.000246938,0.139302582,0.01940521,6.849886621,3.006898956,9.041441332
12,Black Eyed Peas - Lets Get It Started.mp3,happy,2,103.359375,129354,1306.606061,0.402474583,0.312443126,0.097620707,0.466007204,0.296977642,0.08819572,0.260350916,0.124702582,0.015550734,12.99421651,101.599269,10322.41146,0.792898904,41.49389062,1721.742959,0.011871489,3.554022516,12.63107604,5.909911633,3.422062159,11.7105093,2644.788328,1153.020189,1329455.556,2635.541868,503.5351806,253547.6781,19.97006123,6.920022783,47.88671532,5501.200068,2037.249226,4150384.408,2.604742209,3.678209832,13.52922757,-0.003095443,0.071901439,0.005169817,0.116087733,0.096375337,0.009288206,2.30E-06,0.14649725,0.021461442,-6.78E-05,0.144702166,0.020938715,4.447782313,2.376100069,5.64585154
13,Blue Stahli - Ultranumb.mp3,angry,4,123.046875,147270,1248.050847,0.535376136,0.263895309,0.069640734,0.554991266,0.262331103,0.068817608,0.265375858,0.113617724,0.012908987,10.95176986,71.0129774,5042.84296,3.435042903,31.84942408,1014.385814,0.013709524,2.150124998,4.623037509,5.561200142,3.0498631,9.301665306,2938.003397,690.8869368,477324.7595,2600.273189,502.5470182,252553.5055,17.93798924,7.466678433,55.75128682,5979.384677,1419.856955,2015993.771,2.958585796,3.678379398,13.530475,-0.006745901,0.057526558,0.003309305,0.146447716,0.065800428,0.004329696,0.000169703,0.166842565,0.02783644,0.001528302,0.095579937,0.009135525,2.813097506,1.338913305,1.792688838
14,Blue Stahli vs Celldweller - Frozen.mp3,relax,3,129.1992188,159858,1258.724409,0.413806951,0.315671369,0.099648413,0.576091406,0.265046685,0.070249745,0.272654286,0.094831291,0.008992974,2.695430781,22.19727107,492.7188431,-6.422768463,51.17730624,2619.116674,0.00982906,3.39416723,11.52037119,2.597597361,1.560394883,2.434832096,2041.541831,941.4555868,886338.6219,2102.412011,762.3423281,581165.8253,18.41992234,7.353510188,54.07411208,4276.482474,2096.566806,4395592.37,1.235656873,1.626491587,2.645474881,0.001037427,0.051274494,0.002629074,0.089129091,0.051724523,0.002675426,0.000409699,0.061693363,0.003806071,0.000708763,0.066476807,0.004419166,2.972154195,1.773205029,3.144256076
15,Bonnie Tyler - Total Eclipse of the Heart.mp3,sad,1,129.1992188,162877,1282.496063,0.271930177,0.302700028,0.091627307,0.421102029,0.282977046,0.080076008,0.23802667,0.163329843,0.026676638,2.321361634,22.96136834,527.224436,-9.634292097,58.87850751,3466.678646,0.011873367,2.576473109,6.638213679,2.272249937,1.917987227,3.678674936,2170.832467,611.3881309,373795.4466,1953.28201,406.1581802,164964.4673,23.70792469,6.938499402,48.14277395,3939.21368,1221.556987,1492201.472,0.998802059,1.576373648,2.484953877,-0.002788675,0.080037797,0.006406049,0.118865872,0.050058968,0.0025059,4.05E-06,0.083132863,0.006911073,-2.22E-05,0.044358771,0.001967701,4.288725624,2.341742499,5.483757933
16,Breaking Benjamin - Breath.mp3,happy,2,92.28515625,113335,1259.277778,0.396369489,0.284254401,0.080800565,0.455142365,0.278811698,0.077735963,0.242566925,0.156507572,0.02449462,14.01458824,73.58552948,5414.830149,5.870747545,31.29247474,979.2189753,0.005343709,2.13405156,4.554176062,6.657815456,2.263454914,5.123228073,2297.396476,706.1790814,498688.895,2435.428403,488.8099214,238935.1392,20.47385432,6.463104091,41.77171449,4924.782721,1564.307282,2447057.274,3.217956805,3.651106068,13.33057552,-0.006948982,0.078250439,0.006123131,0.098866749,0.044492392,0.001979573,2.30E-06,0.197886735,0.03915916,-3.08E-05,0.098269477,0.00965689,2.775945578,1.819598304,3.310937988
17,Breaking Benjamin - I Will Not Bow.mp3,angry,4,107.6660156,131015,1259.759615,0.454749297,0.276858766,0.076650777,0.519307059,0.279829394,0.07830449,0.256522975,0.132398251,0.017529297,22.7630754,130.2865158,16974.57619,6.011973516,30.30760478,918.5509072,0.012180728,2.02058726,4.082772874,8.239292145,3.566739082,12.72162819,2736.437967,700.7225646,491012.1125,2584.263729,446.1937209,199088.8366,19.83836196,6.974203171,48.63950988,5698.290543,1356.499374,1840090.551,3.932229778,4.604011199,21.19691912,0.013427586,0.074149712,0.00549818,0.126941976,0.0630339,0.003973273,6.51E-06,0.242872566,0.058987081,2.51E-05,0.129716977,0.016826494,6.032544218,2.300540956,5.292488691
18,Breaking Benjamin - Into the Nothing.mp3,angry,4,95.703125,117594,1264.451613,0.467404991,0.276425128,0.076410851,0.467367862,0.277421652,0.076962773,0.249772923,0.144730163,0.02094682,25.05559995,116.2035881,13503.2739,8.708448371,23.51670469,553.0353997,0.013760307,2.141404861,4.585614781,9.290811539,1.329018354,1.76628983,2576.623891,758.5768228,575438.7961,2630.615574,378.470166,143239.6666,19.63944687,7.326305717,53.67475546,5630.645119,1464.339782,2144290.997,4.380989291,4.554014299,20.73904624,0.000707387,0.073122949,0.005346966,0.107878221,0.055249994,0.003052562,8.38E-06,0.26386112,0.069622695,0.000203638,0.125312135,0.015703131,5.979138322,3.538811743,12.52318855
19,Breaking Benjamin - The Diary of Jane.mp3,sad,1,83.35433468,97869,1223.3625,0.448234046,0.290374201,0.084317177,0.496579418,0.28327459,0.080244493,0.247830579,0.148031543,0.021913338,3.136189496,16.41105926,269.3228661,0.100834315,40.2192699,1617.589671,0.012330392,2.012192377,4.048918163,3.206317663,1.156541944,1.337589145,2559.494232,886.7918066,786399.7083,2413.081282,649.974529,422466.8884,20.57333583,8.058157569,64.93390341,5248.909927,1843.138435,3397159.29,1.680687013,1.964607174,3.859681347,-0.028696992,0.074541635,0.005556455,0.131191384,0.061219679,0.003747849,-6.34E-07,0.088962898,0.007914397,3.73E-05,0.054132815,0.002930362,3.646693878,1.759200449,3.094786221
20,Buckcherry vs The Prodigy - Crazy Bitch vs Girls.mp3,happy,2,123.046875,138193,1191.318966,0.484846595,0.298187343,0.088915691,0.528964057,0.282039846,0.079546475,0.262262598,0.120630275,0.014551663,22.82086316,178.0462646,31700.47235,5.838676459,31.76448503,1008.98251,0.004356527,4.43373736,19.65802698,8.748059273,3.853826761,14.85198116,2611.001127,891.9444653,795564.9292,2558.014327,489.432179,239543.8579,18.53984543,6.834016124,46.70377639,5458.266995,1732.339606,3001000.511,4.057726691,4.863786848,23.65642251,0.007551954,0.052077383,0.002712054,0.108621792,0.071305098,0.005084417,0.069523379,0.194745436,0.037925787,0.009843239,0.186252549,0.034690011,2.142040816,1.142904826,1.306231441
21,Celldweller - Louder than Words.mp3,relax,3,129.1992188,163073,1274.007813,0.497176541,0.277366145,0.076931978,0.459451068,0.282600434,0.079863006,0.244975362,0.1527102,0.023320405,14.16715445,82.89102642,6870.92226,7.249865721,32.62323038,1064.27516,0.013239201,2.362641172,5.582073307,6.733174801,2.144689322,4.599691868,2222.871484,872.0314977,760438.933,2365.303478,595.8328373,355016.77,18.73737298,7.624103453,58.12695347,4788.258546,1821.102116,3316412.915,3.23242565,3.741318874,13.99746691,0.01230219,0.080442594,0.006471011,0.088543493,0.058361267,0.003406037,7.76E-05,0.188289493,0.035452932,0.000102256,0.10894613,0.011869259,4.06000907,2.704972985,7.316878851
22,Dangerkids - Cut Me Out.mp3,happy,2,135.9991776,175185,1269.456522,0.3958758,0.287968708,0.082925977,0.413221524,0.279513041,0.07812754,0.236254215,0.16588333,0.027517279,16.43499268,86.67369702,7512.329755,6.160606666,33.09131347,1095.035027,0.011221741,2.096554143,4.395539274,7.195658684,2.734534979,7.477682114,2433.756941,900.8447633,811521.2876,2370.158518,718.7005028,516530.4127,19.40367777,6.811914725,46.40218222,5082.994264,1952.464154,3812116.271,3.758330857,4.382051782,19.20237782,-0.008157792,0.086879214,0.007547998,0.110705113,0.052257411,0.002730837,5.05E-06,0.208215848,0.043353837,0.000171728,0.111212038,0.012368117,2.129269841,1.171310353,1.371967943
23,Data - One in A Million.mp3,happy,2,123.046875,153383,1369.491071,0.386756091,0.306088936,0.093690437,0.563429303,0.266463113,0.071002591,0.264697406,0.115189482,0.013268617,21.63702725,141.882844,20130.74142,2.7213725,29.09887687,846.7446352,0.011374116,2.613571113,6.830753964,8.071249962,3.845243692,14.78589821,2580.425996,878.7271091,772161.3323,2501.706637,385.0069165,148230.3257,19.56973134,6.529178752,42.63017518,5319.538667,1592.881162,2537270.395,4.031660511,4.928140297,24.28656678,0.003895271,0.061088764,0.003731837,0.131912657,0.084198664,0.007089415,-7.76E-05,0.201241747,0.040498242,9.13E-05,0.187978268,0.035335828,5.326657596,2.338082253,5.46662862
24,Demi Lovato - Heart Attack.mp3,sad,1,86.1328125,102981,1240.73494,0.328519301,0.313138987,0.098056025,0.465974507,0.298777519,0.089268006,0.252162857,0.140524826,0.019747227,3.165634164,25.71299902,661.1583187,-2.545148752,33.94254424,1152.09631,0.003179118,2.628647993,6.909790272,3.132388115,1.411688805,1.992865443,3169.081882,832.4739737,693012.9169,2819.827353,376.182783,141513.4862,20.32481925,6.407512786,41.0562201,6570.801934,1521.90087,2316182.257,1.372887568,1.641471213,2.694427743,-0.00104019,0.07577384,0.005741675,0.152663665,0.086358972,0.007457872,-2.49E-07,0.087481767,0.00765306,-9.92E-05,0.060471952,0.003656857,1.791419501,1.035939872,1.073171418
25,Escape The Fate - You're So Beautiful.mp3,happy,2,95.703125,122044,1341.142857,0.421849818,0.306647529,0.094032707,0.550773026,0.257694223,0.066406313,0.267766004,0.10786427,0.011634701,10.59940922,57.23674689,3276.045195,4.597677427,24.8762513,618.8278786,0.011206009,2.085952305,4.351197018,6.117223263,1.803445101,3.252414227,3068.835651,616.8225552,380470.0647,2657.643177,251.3394521,63171.52016,19.07042958,6.990074181,48.86113706,6186.387592,962.0405944,925522.1052,3.266151421,3.587866795,12.87278814,0.011968534,0.053901292,0.002905349,0.156901735,0.064431478,0.004151415,2.83E-06,0.155514091,0.024184631,1.07E-06,0.109294571,0.011945303,3.792979592,1.640983536,2.692826965
26,Evanescence - Bring me to Life.mp3,sad,1,95.703125,107784,1298.60241,0.340195852,0.302053439,0.09123628,0.493420379,0.278402829,0.077508135,0.247131189,0.149196208,0.022259509,6.033988021,37.68174366,1419.913805,4.168183867,46.89909685,2199.525285,-0.000221827,1.781880068,3.175096577,4.312673092,1.545769453,2.389403105,1705.036592,908.744262,825816.1337,1994.561724,613.618628,376527.8206,19.9782589,7.375417855,54.39678853,3353.075558,1862.625881,3469375.171,1.890227812,2.345068729,5.499347344,0.011950872,0.058401508,0.003410736,0.078947557,0.062552936,0.00391287,-7.39E-05,0.132372186,0.017522395,-0.00062404,0.05609706,0.00314688,11.03760544,5.605050202,31.41658777
27,Evans Blue- Cold But Im still here.mp3,sad,1,135.9991776,179373,1290.453237,0.433761231,0.279999101,0.078399497,0.479192749,0.280021093,0.078411813,0.250880037,0.142802452,0.02039254,3.142744341,14.34181315,205.6876045,1.069658741,43.62572604,1903.203973,0.008757593,2.286287253,5.227109403,3.181661844,1.008893371,1.017865777,1954.530726,697.8159715,486947.1301,2135.535296,622.1728452,387099.0493,23.03874562,13.71419195,188.0790609,4184.916361,1642.931228,2699223.019,1.711025023,1.93860204,3.758177871,-0.0135201,0.082926099,0.006876738,0.095124897,0.039668243,0.001573569,-0.001536076,0.084541276,0.007147227,-0.003169537,0.051830992,0.002686452,3.145142857,2.093591192,4.38312408
28,Florida - Right Round.mp3,happy,2,123.046875,127201,1156.372727,0.400897081,0.299637596,0.089782689,0.488034057,0.287805823,0.082832192,0.249344854,0.145466413,0.021160477,7.015688709,67.06943446,4498.309039,0.866641315,37.26856338,1388.945816,0.011124304,2.899072092,8.404618994,4.059482098,2.848655462,8.1148386,2700.535256,821.2123686,674389.7544,2657.727288,434.5367614,188822.197,19.64153164,7.640903884,58.38341216,5815.831499,1600.781178,2562500.381,1.926409324,2.747631781,7.549480405,0.007906402,0.069134937,0.00477964,0.12699224,0.067713724,0.004585148,4.52E-05,0.101845041,0.010372412,0.000129788,0.12085668,0.014606337,12.78606803,10.08795272,101.7667901
29,Globus - Take me away.mp3,sad,1,151.9990809,191920,1279.466667,0.288229975,0.309679581,0.095901443,0.379603551,0.293539461,0.086165415,0.215402843,0.192184674,0.036934949,1.067194318,10.70415438,114.5789209,-12.24285386,91.13048051,8304.764477,0.004661522,1.433142239,2.053896679,1.487624168,1.112414122,1.237465262,695.7151403,337.572982,113955.5182,1021.81088,485.4976063,235707.9258,24.37245403,6.548069022,42.87720792,1170.934586,1006.46382,1012969.421,0.456029814,0.663765386,0.440584487,0.005476558,0.08754497,0.007664122,0.031078043,0.0116779,0.000136373,-5.70E-06,0.06254603,0.003912006,-1.30E-06,0.011289089,0.000127444,2.01200907,1.155837822,1.33596107
30,Globus - Thousand Deaths.mp3,sad,1,135.9991776,178652,1258.112676,0.414298481,0.283215475,0.080211005,0.389382051,0.283668387,0.080467754,0.222889189,0.183449565,0.033653743,9.609018462,40.74106775,1659.834601,6.108056515,31.45654496,989.5142208,0.013958731,1.417640777,2.009705372,5.701161385,1.479744792,2.189644575,1989.337314,437.9278757,191780.8243,2089.410023,373.3703169,139405.3936,19.1103805,7.615343232,57.99345254,3987.117557,954.8532387,911744.7074,3.271087252,3.508646364,12.31059931,0.046769898,0.088471723,0.007827246,0.102124666,0.034928811,0.001220022,0.000143525,0.155091599,0.024053404,0.001162905,0.079369351,0.006299493,9.32861678,5.037220502,25.37359038
31,Imagine Dragons - Radioactive.mp3,happy,2,135.9991776,171634,1271.362963,0.365361971,0.297269026,0.088368874,0.488452639,0.268399763,0.072038433,0.253088905,0.138850061,0.01927934,15.97752145,139.1850681,19372.48319,0.941936879,40.01436931,1601.149752,0.013850195,2.368875103,5.611569253,6.028670788,4.282248974,18.33765602,1830.434792,743.156604,552281.7381,2063.199063,476.4348209,226990.1386,20.85932781,7.347844328,53.99081627,3765.685563,1575.051297,2480786.589,2.714162701,3.844959104,14.78371051,-0.001253918,0.067217617,0.004518208,0.081883103,0.050199679,0.002520008,7.33E-06,0.19862777,0.039452989,8.09E-05,0.10788808,0.011639838,4.203972789,2.251371587,5.068674023
32,Imagine Dragons - Warrior.mp3,angry,4,78.30255682,96895,1274.934211,0.349990664,0.285689661,0.081618582,0.506642854,0.26129877,0.068277047,0.257210757,0.131057087,0.01717596,8.244193189,45.07454532,2031.714636,1.908302944,37.44426431,1402.07293,0.005503734,1.767357853,3.123553782,4.815413475,2.383156538,5.679435253,1930.362907,546.0552709,298176.3588,2176.645657,427.6114919,182851.588,20.02704751,6.916516372,47.83819872,3936.630362,1333.65457,1778634.512,2.443521917,3.014163683,9.085182709,0.015831622,0.06479114,0.004197892,0.089114541,0.034039781,0.001158707,1.64E-06,0.149282426,0.022285243,-3.35E-05,0.067395568,0.004542162,2.363791383,1.199880906,1.439714188
33,K'naan - Waving Flag.mp3,happy,2,75.99954044,92219,1263.273973,0.333718314,0.310685262,0.096525332,0.526373964,0.288186018,0.083051181,0.256453838,0.132532118,0.017564762,7.665881763,58.61058842,3435.201075,0.657475056,36.21784053,1311.731972,0.01091064,2.760303387,7.61927479,4.516118526,2.565011024,6.57928133,2719.051263,832.9341011,693779.2168,2807.989342,417.317302,174153.7306,19.45091511,6.309187072,39.80584151,6133.112914,1616.907024,2614388.324,2.007062694,2.613242091,6.829034225,0.019607278,0.067454888,0.004550162,0.115158412,0.064214184,0.004123461,-6.42E-06,0.1091813,0.011920555,0.000117855,0.110110119,0.012124239,2.964027211,1.540749851,2.373910102
34,Katy Perry - Firework.mp3,happy,2,123.046875,149489,1245.741667,0.319271761,0.30490407,0.092966492,0.569835431,0.268900072,0.072307249,0.266542322,0.110853615,0.012288524,6.33452847,52.46348492,2752.41725,-1.78458196,29.99545366,899.7272405,0.011549971,2.631254261,6.923498987,4.338088989,2.197864294,4.830607414,2828.94605,806.4568169,650372.5975,2534.681964,346.703843,120203.5548,21.2542257,6.699803652,44.88736897,5649.520005,1382.805201,1912150.224,1.930650675,2.326983599,5.41485267,0.006470377,0.054561037,0.002976907,0.145506679,0.072876649,0.005311006,-3.64E-06,0.123941764,0.015361561,-2.05E-05,0.097580649,0.009521983,4.987646259,2.732255666,7.465221022
35,Katy Perry - I Kissed a Girl.mp3,happy,2,129.1992188,166941,1284.161538,0.424609873,0.296794544,0.088087002,0.490908643,0.282824218,0.079989538,0.252563492,0.139803491,0.019545016,1.153504436,8.226192745,67.67024708,0.07277011,44.70453179,1998.495162,-0.000554184,3.10420526,9.636090293,1.90388,0.702271402,0.493185133,2586.705161,959.9057074,921418.967,2606.904154,479.561531,229979.262,19.27737467,6.677743707,44.59226102,5426.754685,1876.585012,3521571.306,0.855481724,0.987174264,0.974513027,-0.000464537,0.07007857,0.004911006,0.109073792,0.063048166,0.003975071,-1.33E-06,0.053292528,0.002840093,2.33E-05,0.035375156,0.001251401,2.426485261,1.529056493,2.338013758
36,Kesha - Dancing With Tears In My Eyes.mp3,happy,2,117.4538352,153190,1287.310924,0.404095201,0.312037854,0.097367622,0.577615568,0.272759526,0.074397759,0.269704098,0.102922461,0.010593033,9.673783125,70.2800849,4939.290333,2.968818018,34.10427065,1163.101277,0.011664829,3.533767499,12.48751274,5.34232235,2.381651163,5.672262669,2586.532187,1009.867538,1019832.444,2561.445742,592.319355,350842.2183,19.65683227,7.477825911,55.91788036,5468.846097,1893.07787,3583743.822,2.417972435,2.938257429,8.633356722,0.007903469,0.054098024,0.002926596,0.11707091,0.083681721,0.00700263,-1.06E-05,0.127444252,0.016242037,-2.61E-05,0.13391684,0.017933721,5.310403628,2.329727607,5.427630722
37,Laura Jansen - Use Somebody.mp3,sad,1,129.1992188,152569,1250.565574,0.281130342,0.295547935,0.087348582,0.398251896,0.280725999,0.078807087,0.229530481,0.17506882,0.030649092,3.950106138,26.72243843,714.0887156,-7.668213253,65.72611657,4319.922399,0.008448898,2.532107626,6.41156903,3.215786219,1.818070412,3.305379868,1317.696272,934.5078528,873304.9269,1383.170278,807.8206468,652574.1975,24.80586969,5.856771171,34.30176855,2423.514512,1809.438438,3274067.462,1.181530762,1.59207335,2.534697551,-0.006783966,0.096021452,0.009220119,0.068756576,0.053719638,0.002885799,-1.93E-06,0.119287215,0.01422944,-4.08E-05,0.035870176,0.00128667,9.111510204,5.619955321,31.58389781
